Fall In Love (Feat. MiZi &amp; YeJi)||블로윈 (BLO￦IN)||R&B||548
빗속에서 (Feat. 반하나)||이슈메이커||R&B||508
Lonely (Feat. 태연)||종현 (JONGHYUN)||R&B||163
힐링유||허니지 (Honey-G)||R&B||236
THRILLER||8LOOP(에잇루프)||R&B||753
Remember||브이홀릭 (V.Holic)||R&B||909
Come Over||Jhnovr||R&B||332
느낌적인 느낌||Gookey||R&B||156
속삭여줘 (Prod by 리치)||UNFAIR &amp; 신나라 (xxinnara)||R&B||62
1시간 전에||피에스 (P.S)||R&B||223
산책||박선주 (Pak Sun Zoo)||R&B||479
끝났어||민진||R&B||314
YES||베일리 (Bailey)||R&B||94
그래 왜 (Cause Of You)||CHAPLYNN||R&B||248
ACROSS THE UNIVERSE||정기고 (Junggigo)||R&B||293
PARTY||WAEB (웹)||R&B||524
시간이 빼앗아||코다 브릿지 (CODA BRIDGE)||R&B||950
봄에 하는 이별||염상엽||R&B||604
X.O.X.O (BITTERSWEET) (Feat. Sha.L &amp; NUNSSEOP)||유트랜드 (U-TREND)||R&B||904
RUN||C.L.O.U.D||R&B||807
Walk On Air||동쿠 (DONG KOO)||R&B||11
가까이||이지영 (빅마마)||R&B||836
숨||림지 (Limzy)||R&B||568
FUNKY MOTION||Sienna (씨에나)||R&B||395
Hook Song (Feat. FANXY)||검정가죽||R&B||685
새벽1시 (Empty)||0372||R&B||667
Mind (Feat. 넉살)||문샤인 (Moonshine)||R&B||370
이밤을 얘기해 (Prod. by 노경민)||WAYNE (웨인)||R&B||613
쉬는날||라디 (Ra. D)||R&B||349
이불 (Vocal. 도라희)||에즈피 (ASP)||R&B||6
Love Comes||화사 (마마무) &amp; 에스나 (eSNa)||R&B||785
To Meerkat||양선||R&B||42
Morning Drive (Feat. Swalo)||Myle.D||R&B||210
Beauty Call||원웨이 (Oneway)||R&B||10
Think About You (Feat. 멜튼)||MOTIF||R&B||54
눈이 높아 (Can You Handle) (Feat. Jay)||알샤 (R.sha)||R&B||365
Shadow (Feat. gunta)||누텔러 (NuTeller)||R&B||739
살아지네||이복길||R&B||997
She's a Baby||지코 (Zico)||R&B||382
Friday||DAZE (데이즈)||R&B||558
Fall In Love (Feat. Owen Ovadoz)||THAMA (따마)||R&B||838
오늘 같은 밤||마이큐 (MY Q)||R&B||320
아련해 (Feat. Person)||서재 (suhjae)||R&B||136
너라는 밤||Resound||R&B||639
연애중||박정현||R&B||916
Dreaming Bout You||루나플라이 (LUNAFLY)||R&B||345
봄비||리치 (Rich)||R&B||376
놀아줘요 (Feat. JAM2Y)||홍석민||R&B||14
Too Late (Prod. by U-TREND)||LYON||R&B||622
알면서도||계승||R&B||524
그대가 봄이야||GooNight (구나잇)||R&B||229
너 없는 하루||김노피||R&B||573
딸 또래||Puer Kim(퓨어킴)||R&B||51
WHERE||LAYBACKSOUND (레이백사운드)||R&B||207
사랑이 잘 (With 오혁)||아이유 (IU)||R&B||890
夢中夢 (몽중몽; Dream In A Dream)||텐 (TEN)||R&B||74
My Star||Ryan||R&B||866
AM 7: 7 O'CLOCK||김형준||R&B||201
뒷소문 (GOSSIP)||아거 (AGER)||R&B||230
Ocean Drive (Feat. San E)||베이빌론 (Babylon)||R&B||45
Rainyday (Feat. iiO)||RONY||R&B||932
죄인||스테이튠 (Stay Tune)||R&B||321
Make Me Love You||태연 (TAEYEON)||R&B||337
봄비 (Duet With 소이 of 구구단)||영준 (브라운아이드소울)||R&B||347
닿을 수 있다면||Breeze||R&B||734
모른척||호재||R&B||97
